Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2019-11;National;NIMES;PARIS LYON;224;226;11;;190;8.765614035;-112.2620155;;63;-40.10925926;-151.2910078;;44;34.67738095;18;3;46.77419355;17.74193548;14.51612903;12.90322581;3.225806452;4.838709677
2019-12;National;NIMES;PARIS LYON;179;168;24;;114;5.99254386;4.668287037;;26;26.18782051;4.929976852;;18;32.575;5;2;23.07692308;26.92307692;30.76923077;3.846153846;11.53846154;3.846153846
2020-01;National;NIMES;PARIS LYON;179;186;9;;122;11.79439891;8.04952919;;43;45.2244186;10.7653484;;39;48.65470085;19;11;30.95238095;23.80952381;11.9047619;23.80952381;7.142857143;2.380952381
2020-02;National;NIMES;PARIS LYON;180;193;0;;164;5.873678862;4.962521589;;30;31.00888889;5.818221071;;26;33.84871795;12;2;16.66666667;43.33333333;10.0;20.0;6.666666667;3.333333333
2020-03;National;NIMES;PARIS LYON;181;143;11;;102;5.634150327;4.292171717;;18;36.84814815;5.331944444;;17;38.41764706;7;4;41.17647059;5.882352941;17.64705882;29.41176471;0.0;5.882352941
2020-04;National;NIMES;PARIS LYON;179;34;13;;19;8.55877193;7.71984127;;9;18.4537037;9.10952381;;5;23.0;0;0;11.11111111;44.44444444;0.0;11.11111111;0.0;33.33333333
2020-05;National;NIMES;PARIS LYON;180;128;15;;73;6.798630137;4.275073746;;11;44.23333333;3.378023599;;11;44.23333333;7;4;9.090909091;72.72727273;0.0;9.090909091;9.090909091;0.0
2020-06;National;NIMES;PARIS LYON;180;170;9;;114;7.34502924;5.105072464;;23;36.78115942;5.561283644;;20;40.40833333;11;4;33.33333333;38.88888889;16.66666667;11.11111111;0.0;0.0
2020-07;National;NIMES;PARIS LYON;182;231;5;;192;8.587413194;7.257300885;;45;36.85592593;8.646386431;;41;39.10487805;19;8;35.55555556;13.33333333;28.88888889;11.11111111;11.11111111;0.0
2020-08;National;NIMES;PARIS LYON;182;235;2;;204;8.723120915;7.604434907;;45;35.88888889;8.824964235;;41;43.61291667;23;8;42.22222222;13.33333333;20.0;15.55555556;4.444444444;4.444444444
2020-09;National;NIMES;PARIS LYON;181;208;1;;163;3.90593047;3.02705314;;15;34.55777778;3.496457327;;14;36.25238095;4;3;20.0;26.66666667;20.0;20.0;6.666666667;6.666666667
