Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-11;National;MONTPELLIER;LYON PART DIEU;113;275;5;;96;11.94149306;4.352098765;;95;28.42368421;12.87802469;;61;12.87802469;24;10;21.50537634;33.33333333;26.88172043;8.602150538;6.451612903;3.225806452
2018-12;National;MONTPELLIER;PARIS LYON;208;308;3;;158;7.296097046;3.840054645;;42;32.56468254;4.76010929;;42;4.76010929;19;4;40.47619048;16.66666667;21.42857143;14.28571429;4.761904762;2.380952381
2018-12;National;MONTPELLIER;LYON PART DIEU;114;238;4;;90;9.33;3.722720798;;46;28.69456522;7.933404558;;33;7.933404558;9;4;35.55555556;33.33333333;8.888888889;13.33333333;4.444444444;4.444444444
2019-01;National;MONTPELLIER;LYON PART DIEU;115;208;7;;40;11.37166667;2.355223881;;18;32.57592593;5.081011609;;10;5.081011609;7;2;35.29411765;11.76470588;17.64705882;17.64705882;11.76470588;5.882352941
2019-01;National;MONTPELLIER;PARIS LYON;209;309;3;;111;10.3512012;3.814978214;;32;42.30520833;4.238071895;Neiges;32;4.238071895;19;5;59.375;18.75;6.25;12.5;3.125;0.0
2019-02;National;MONTPELLIER;LYON PART DIEU;115;188;4;;36;11.92824074;2.401086957;;14;42.66190476;5.934057971;;11;5.934057971;5;4;35.71428571;14.28571429;21.42857143;21.42857143;0.0;7.142857143
2019-02;National;MONTPELLIER;PARIS LYON;209;282;3;;110;10.54818182;4.209498208;;31;65.15806452;6.93572282;Accidents de personne;31;6.93572282;16;8;9.677419355;45.16129032;29.03225806;9.677419355;3.225806452;3.225806452
2019-03;National;MONTPELLIER;LYON PART DIEU;114;208;3;;30;9.411111111;1.46097561;;23;27.00144928;4.848780488;;16;4.848780488;6;2;30.43478261;26.08695652;17.39130435;8.695652174;17.39130435;0.0
2019-03;National;MONTPELLIER;PARIS LYON;208;308;1;;101;8.118151815;2.682030402;;29;49.90632184;4.208849077;Incendie motrice à cluny, colis suspect à Valence TGV, chute d'arbre vers Vaumort;29;4.208849077;10;9;24.13793103;27.5862069;20.68965517;17.24137931;10.34482759;0.0
2019-04;National;MONTPELLIER;PARIS LYON;207;307;0;;170;4.256470588;2.4252443;;22;32.53712121;1.329207383;;22;1.329207383;7;2;42.10526316;21.05263158;21.05263158;5.263157895;10.52631579;0.0
2019-04;National;MONTPELLIER;LYON PART DIEU;112;191;8;;98;5.136394558;2.790528233;;30;26.84;6.130601093;;24;6.130601093;10;0;26.66666667;23.33333333;23.33333333;20.0;6.666666667;0.0
2019-05;National;MONTPELLIER;LYON PART DIEU;112;225;30;;167;4.407285429;3.744102564;;24;48.22152778;7.955042735;;21;53.25793651;13;8;41.66666667;16.66666667;12.5;29.16666667;0.0;0.0
2019-05;National;MONTPELLIER;PARIS LYON;206;338;4;;270;4.311358025;3.269161677;;38;42.70701754;4.492814371;Heurt de personnes à Vianges, Heurt animal Cuy, heurt chevreuil Lacour d'arcenay, dérangement Yerres, disjonction cluny, Fort impact sur LN1 tronçon central;38;42.70701754;15;6;35.13513514;21.62162162;21.62162162;21.62162162;0.0;0.0
2019-06;National;MONTPELLIER;PARIS LYON;207;336;0;;287;8.87514518;7.527728175;;53;67.55251572;10.33928571;Arrachement caténaire à Montpellier, Heurt d'une personne à Paris Bercy,, limitation vitesse 6909 sur LN1, dérangement vers Montanay accès LN1, heurt de personne à Maisons Alfort, Dérangement d'installation vers Macon;53;67.55251572;28;14;32.0754717;26.41509434;15.09433962;15.09433962;9.433962264;1.886792453
2019-06;National;MONTPELLIER;LYON PART DIEU;112;238;37;;172;5.948255814;5.055970149;;39;31.31025641;7.802072968;;23;44.87173913;11;5;15.38461538;23.07692308;17.94871795;23.07692308;15.38461538;5.128205128
2019-07;National;MONTPELLIER;PARIS LYON;206;498;126;;327;11.54051988;10.11899642;;75;44.00733333;9.19171147;;75;44.00733333;44;14;32.43243243;29.72972973;20.27027027;10.81081081;4.054054054;2.702702703
2019-07;National;MONTPELLIER;LYON PART DIEU;112;284;66;;199;5.65921273;5.15206422;;28;44.51369048;8.041055046;;22;53.10606061;13;6;25.0;39.28571429;25.0;10.71428571;0.0;0.0
2019-08;National;MONTPELLIER;PARIS LYON;206;373;28;;306;10.2171024;9.042463768;;92;40.89365942;10.92932367;;92;40.89365942;43;13;31.52173913;26.08695652;16.30434783;8.695652174;13.04347826;4.347826087
2019-08;National;MONTPELLIER;LYON PART DIEU;112;204;0;;185;5.908918919;5.345424837;;48;26.89791667;8.155964052;;30;35.73611111;10;5;12.76595745;25.53191489;23.40425532;12.76595745;14.89361702;10.63829787
