"Date","Départ","Arrivée","Nombre.de.trains.programmés","Nombre.de.trains.ayant.circulé","Nombre.de.trains.annulés","Nombre.de.trains.en.retard.à.l.arrivée","Taux.de.régularité","Nombre.de.trains.à.l.heure.pour.un.train.en.retard.à.l.arrivée"
"2022-02","PARIS-AUSTERLITZ","RODEZ/ALBI",25,25,0,2,92,11.5
"2022-02","PARIS-AUSTERLITZ","CERBERE",14,14,0,2,85.7142857142857,6
"2022-02","CLERMONT-FERRAND","BÉZIERS",28,28,0,2,92.8571428571429,13
"2022-02","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",24,24,0,1,95.8333333333333,23
"2022-01","CLERMONT-FERRAND","BÉZIERS",31,31,0,1,96.7741935483871,30
"2022-01","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",24,20,4,2,90,9
"2022-01","PARIS-AUSTERLITZ","CERBERE",9,9,0,4,55.5555555555556,1.25
"2022-01","PARIS-AUSTERLITZ","RODEZ/ALBI",24,23,1,5,78.2608695652174,3.6
"2021-12","CLERMONT-FERRAND","BÉZIERS",31,31,0,3,90.3225806451613,9.33333333333333
"2021-12","PARIS-AUSTERLITZ","RODEZ/ALBI",28,28,0,2,92.8571428571429,13
"2021-12","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",18,11,7,7,36.3636363636364,0.571428571428571
"2021-11","PARIS-AUSTERLITZ","RODEZ/ALBI",23,23,0,0,100,0
"2021-11","CLERMONT-FERRAND","BÉZIERS",41,41,0,3,92.6829268292683,12.6666666666667
"2021-11","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",23,19,4,2,89.4736842105263,8.5
"2021-10","CLERMONT-FERRAND","BÉZIERS",62,62,0,1,98.3870967741936,61
"2021-10","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",24,21,3,0,100,0
"2021-10","PARIS-AUSTERLITZ","RODEZ/ALBI",27,27,0,1,96.2962962962963,26
"2021-09","CLERMONT-FERRAND","BÉZIERS",43,43,0,1,97.6744186046512,42
"2021-09","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,25,3,0,100,0
"2021-09","PARIS-AUSTERLITZ","RODEZ/ALBI",29,27,2,1,96.2962962962963,26
"2021-08","PARIS-AUSTERLITZ","RODEZ/ALBI",31,30,1,2,93.3333333333333,14
"2021-08","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",31,25,6,1,96,24
"2021-08","CLERMONT-FERRAND","BÉZIERS",31,31,0,0,100,0
"2021-07","CLERMONT-FERRAND","BÉZIERS",34,34,0,3,91.1764705882353,10.3333333333333
"2021-07","PARIS-AUSTERLITZ","RODEZ/ALBI",13,12,1,2,83.3333333333333,5
"2021-07","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",29,25,4,0,100,0
"2021-06","CLERMONT-FERRAND","BÉZIERS",60,57,3,1,98.2456140350877,56
"2021-06","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",29,27,2,0,100,0
"2021-06","PARIS-AUSTERLITZ","RODEZ/ALBI",7,7,0,0,100,0
"2021-05","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",25,24,1,4,83.3333333333333,5
"2021-05","PARIS-AUSTERLITZ","RODEZ/ALBI",21,20,1,2,90,9
"2021-05","CLERMONT-FERRAND","BÉZIERS",62,61,1,2,96.7213114754098,29.5
"2021-04","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",0,0,0,0,0,0
"2021-04","PARIS-AUSTERLITZ","RODEZ/ALBI",0,0,0,0,0,0
"2021-04","CLERMONT-FERRAND","BÉZIERS",60,60,0,0,100,0
"2021-03","CLERMONT-FERRAND","BÉZIERS",62,61,1,1,98.3606557377049,60
"2021-03","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",27,24,3,0,100,0
"2021-03","PARIS-AUSTERLITZ","RODEZ/ALBI",0,0,0,0,0,0
"2021-02","CLERMONT-FERRAND","BÉZIERS",56,56,0,2,96.4285714285714,27
