Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2019-10;CLERMONT-FERRAND;BÉZIERS;31;26;5;2;92.3076923076923;11.999999999999998
2019-09;CLERMONT-FERRAND;BÉZIERS;29;28;1;4;85.71428571428571;5.999999999999997
2019-08;CLERMONT-FERRAND;BÉZIERS;28;28;0;2;92.85714285714286;13.000000000000009
2019-07;CLERMONT-FERRAND;BÉZIERS;32;32;0;2;93.75;15.0
2019-06;CLERMONT-FERRAND;BÉZIERS;48;47;1;11;76.59574468085107;3.272727272727274
2019-05;CLERMONT-FERRAND;BÉZIERS;40;38;2;1;97.36842105263158;37.0
2019-04;CLERMONT-FERRAND;BÉZIERS;54;54;0;0;100.0;0.0
2019-03;CLERMONT-FERRAND;BÉZIERS;61;61;0;5;91.8032786885246;11.2
2019-02;CLERMONT-FERRAND;BÉZIERS;55;53;2;2;96.22641509433964;25.5
2019-01;CLERMONT-FERRAND;BÉZIERS;57;57;0;1;98.24561403508773;56.0
2018-12;CLERMONT-FERRAND;BÉZIERS;41;38;3;2;94.73684210526316;18.0
2018-11;CLERMONT-FERRAND;BÉZIERS;64;61;3;12;80.32786885245902;4.083333333333333
2018-10;CLERMONT-FERRAND;BÉZIERS;62;60;2;9;85.0;5.666666666666667
2018-09;CLERMONT-FERRAND;BÉZIERS;60;60;0;6;90.0;9.0
2018-08;CLERMONT-FERRAND;BÉZIERS;36;36;0;3;91.66666666666669;11.0
2018-07;CLERMONT-FERRAND;BÉZIERS;54;54;0;7;87.03703703703704;6.714285714285714
2018-06;CLERMONT-FERRAND;BÉZIERS;36;36;0;4;88.88888888888889;8.0
2018-05;CLERMONT-FERRAND;BÉZIERS;36;35;1;0;100.0;0.0
2018-04;CLERMONT-FERRAND;BÉZIERS;26;25;1;4;84.0;5.25
2018-03;CLERMONT-FERRAND;BÉZIERS;63;60;3;4;93.33333333333331;14.0
2018-02;CLERMONT-FERRAND;BÉZIERS;56;56;0;6;89.28571428571429;8.333333333333334
2018-01;CLERMONT-FERRAND;BÉZIERS;62;60;2;5;91.66666666666669;11.0
2017-12;CLERMONT-FERRAND;BÉZIERS;63;61;2;8;86.88524590163934;6.625
2017-11;CLERMONT-FERRAND;BÉZIERS;59;58;1;3;94.82758620689656;18.33333333333333
2017-10;CLERMONT-FERRAND;BÉZIERS;59;59;0;6;89.83050847457628;8.833333333333334
2017-09;CLERMONT-FERRAND;BÉZIERS;57;57;0;1;98.24561403508773;56.0
2017-08;CLERMONT-FERRAND;BÉZIERS;62;61;1;5;91.8032786885246;11.2
2017-07;CLERMONT-FERRAND;BÉZIERS;63;62;1;4;93.5483870967742;14.5
2017-06;CLERMONT-FERRAND;BÉZIERS;60;60;0;2;96.66666666666669;29.0
2017-05;CLERMONT-FERRAND;BÉZIERS;61;61;0;2;96.72131147540983;29.5
2017-04;CLERMONT-FERRAND;BÉZIERS;59;59;0;2;96.61016949152544;28.5
2017-03;CLERMONT-FERRAND;BÉZIERS;61;60;1;3;95.0;19.0
2017-02;CLERMONT-FERRAND;BÉZIERS;54;52;2;10;80.76923076923077;4.2
2017-01;CLERMONT-FERRAND;BÉZIERS;62;62;0;1;98.38709677419357;61.0
2016-12;CLERMONT-FERRAND;BÉZIERS;62;61;1;6;90.1639344262295;9.166666666666666
2016-11;CLERMONT-FERRAND;BÉZIERS;61;60;1;3;95.0;19.0
2016-10;CLERMONT-FERRAND;BÉZIERS;62;62;0;2;96.7741935483871;30.0
2016-09;CLERMONT-FERRAND;BÉZIERS;58;56;2;2;96.42857142857144;27.0
2016-08;CLERMONT-FERRAND;BÉZIERS;24;24;0;1;95.83333333333331;23.0
2016-07;CLERMONT-FERRAND;BÉZIERS;54;53;1;2;96.22641509433964;25.5
2016-06;CLERMONT-FERRAND;BÉZIERS;20;18;2;2;88.88888888888889;8.0
2016-05;CLERMONT-FERRAND;BÉZIERS;54;54;0;0;100.0;0.0
2016-04;CLERMONT-FERRAND;BÉZIERS;48;47;1;1;97.87234042553192;46.0
2016-03;CLERMONT-FERRAND;BÉZIERS;52;51;1;1;98.03921568627452;50.0
2016-02;CLERMONT-FERRAND;BÉZIERS;29;28;1;1;96.42857142857144;27.0
2016-01;CLERMONT-FERRAND;BÉZIERS;31;31;0;2;93.5483870967742;14.5
2015-12;CLERMONT-FERRAND;BÉZIERS;33;31;2;3;90.3225806451613;9.333333333333334
2015-11;CLERMONT-FERRAND;BÉZIERS;32;30;2;1;96.66666666666669;29.0
2015-10;CLERMONT-FERRAND;BÉZIERS;30;30;0;1;96.66666666666669;29.0
2015-09;CLERMONT-FERRAND;BÉZIERS;30;30;0;2;93.33333333333331;14.0
2015-08;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2015-07;CLERMONT-FERRAND;BÉZIERS;30;30;0;4;86.66666666666667;6.5
2015-06;CLERMONT-FERRAND;BÉZIERS;31;30;1;1;96.66666666666669;29.0
2015-05;CLERMONT-FERRAND;BÉZIERS;31;31;0;3;90.3225806451613;9.333333333333334
2015-04;CLERMONT-FERRAND;BÉZIERS;30;30;0;1;96.66666666666669;29.0
2015-03;CLERMONT-FERRAND;BÉZIERS;31;30;1;1;96.66666666666669;29.0
2015-02;CLERMONT-FERRAND;BÉZIERS;28;28;0;1;96.42857142857144;27.0
2015-01;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2014-12;CLERMONT-FERRAND;BÉZIERS;34;31;3;2;93.5483870967742;14.5
2014-11;CLERMONT-FERRAND;BÉZIERS;33;30;3;1;96.66666666666669;29.0
2014-10;CLERMONT-FERRAND;BÉZIERS;27;27;0;2;92.5925925925926;12.5
2014-09;CLERMONT-FERRAND;BÉZIERS;30;30;0;1;96.66666666666669;29.0
2014-08;CLERMONT-FERRAND;BÉZIERS;31;31;0;4;87.09677419354838;6.75
2014-07;CLERMONT-FERRAND;BÉZIERS;31;31;0;3;90.3225806451613;9.333333333333334
2014-06;CLERMONT-FERRAND;BÉZIERS;19;19;0;2;89.5;8.5
2014-05;CLERMONT-FERRAND;BÉZIERS;306;305;1;15;95.1;19.3
2014-04;CLERMONT-FERRAND;BÉZIERS;11;11;0;0;100.0;0.0
2014-03;CLERMONT-FERRAND;BÉZIERS;31;31;0;0;100.0;0.0
2014-02;CLERMONT-FERRAND;BÉZIERS;28;28;0;0;100.0;0.0
2014-01;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.8;30.0
